n,t,Term,id,paper_list,affiliation
Ben Wegbreit,programming language; data type; scene model; inductive assertion; program performance; programming automation; programming languagesPrimitive operation; tape-bounded Turing acceptors; control structure; subgoal induction,"['program', 'languag', 'data', 'type', 'scene', 'model', 'induct', 'assert', 'program', 'perform', 'program', 'autom', 'program', 'languagesprimit', 'oper', 'tape-bound', 'ture', 'acceptor', 'control', 'structur', 'subgoal', 'induct']",171,"1. Proving Properties of Complex Data Structures, 2. Verifying Program Performance, 3. Complexity of Synthesizing Inductive Assertions, 4. Subgoal induction, 5. Faster retrieval from context trees","Xerox Palo Alto Research Center, 3333 Coyote Hill Road, Palo Alto, CA;Harvard Univ., and Xerox Palo Alto Research Center, Palo Alto, CA;Computer Science Department, Stanford University, Stanford, CA;Center for Research in Computing Technology;Atlantic City, N.J.;Strider Labs;CEO Strider Labs Inc, Palo Alto, USA
"
Massimo Tornatore,optical network; availability target; WDM network; mesh network; nationwide network; MLR network; access network; case-study network; network performance; telecom network,"['optic', 'network', 'avail', 'target', 'wdm', 'network', 'mesh', 'network', 'nationwid', 'network', 'mlr', 'network', 'access', 'network', 'case-studi', 'network', 'network', 'perform', 'telecom', 'network']",218,"1. QoS Provision in Optical Networks by Shared Protection: An Exact Approach, 2. WDM network design by ILP models based on flow aggregation, 3. Intelligent shared-segment protection, 4. Grooming and protection with availability guarantees in multilayer optical networks, 5. Dynamic scheduling of survivable connections with delay tolerance in WDM networks","Department of Electronics and Information, Politecnico di Milano, Milan, Italy;Department of Electronics and Information, Politecnico di Milano, Via Ponzio 3435, 20121 Milan, Italy and Department of Computer Science, University of California, Davis, CA 95616, USA;Department of Electronics and Information, Politecnico di Milano, Milan, Italy and University of California, Davis, CA
"
Amin Shokrollahi,Raptor code; wiretap protocol; error probability; ripple size; invertible extractor; Raptor codesLT-codes; finite length Raptor code; universal Raptor code; erasure channel; entire encoding,"['raptor', 'code', 'wiretap', 'protocol', 'error', 'probabl', 'rippl', 'size', 'invert', 'extractor', 'raptor', 'codeslt-cod', 'finit', 'length', 'raptor', 'code', 'univers', 'raptor', 'code', 'erasur', 'channel', 'entir', 'encod']",222,"1. Optimal algorithms for multiplication in certain finite fields using elliptic curves, 2. Fast and precise computations of discrete Fourier transforms using cyclotomic integers, 3. Practical loss-resilient codes, 4. Decoding algebraic-geometric codes beyond the error-correction bound, 5. A displacement approach to efficient decoding of algebraic-geometric codes","Digital Fountain, Inc., 39151 Civic Center Drive, Fremont, CA;EPFL, Germany;School of Basic Sciences, and School of Computer Science and Communications, Ecole Polytechnique Federale de Lausanne (EPFL), Lausanne, Switzerland;Sch. of Comput. Sci. & Commun., Sch. of Basic Sci.
"
C Nadeu,feature selection; SAD system; Acoustic Event Detection; experimental result; acoustic event; acoustic feature; different information source; recognition rate; robust speech activity detection; speech recognition experiment,"['featur', 'select', 'sad', 'system', 'acoust', 'event', 'detect', 'experiment', 'result', 'acoust', 'event', 'acoust', 'featur', 'differ', 'inform', 'sourc', 'recognit', 'rate', 'robust', 'speech', 'activ', 'detect', 'speech', 'recognit', 'experi']",256,1. Spectral estimation with rational modeling of the log spectrum,"TALP Research Center, Universitat Politècnica de Catalunya, Campus Nord, Edifici D5, Jordi Girona 13, 08034 Barcelona, Spain;Department of Signal Theory and Communications, , and TALP Research Center,;Speech Processing Group, TALP Research Center, Department of Signal Theory and Communication, Univesitat Politècnica de Catalunya, Spain
"
Giuseppe Valetto,dynamic adaptation; case study; target system; coordination need; software development project; software system; coordination requirement; global software team; software development; software development organization,"['dynam', 'adapt', 'case', 'studi', 'target', 'system', 'coordin', 'need', 'softwar', 'develop', 'project', 'softwar', 'system', 'coordin', 'requir', 'global', 'softwar', 'team', 'softwar', 'develop', 'softwar', 'develop', 'organ']",260,"1. Managing software artifacts on the Web with Labyrinth, 2. A case study in software adaptation, 3. Requirements-Based Estimation of Change Costs, 4. Enveloping ""Persistent"" Tools for a Process-Centered Environment, 5. A Mobile Agent Approach to Process-Based Dynamic Adaptation of Complex Software Systems","CEFRIEL  Politecnico di Milano, Via Fucini, 2, I20133 Milano (Italy);Columbia University and Telecom Italia Lab Turin, Italy;CEFRIEL;Columbia University;Rank Xerox Research Centre, Meylan France;Aff1 Aff2;IBM T.J. Watson Research Center;IBM Research;Drexel University, Philadelphia, PA, USA
"
Cornelia Caragea,unlabeled data; data representation; data source; relational data source; relevant meta data; structured relational data; academic homepages; predictive model; Ontology-Extended Textual DataReal-world data; biological sequence data,"['unlabel', 'data', 'data', 'represent', 'data', 'sourc', 'relat', 'data', 'sourc', 'relev', 'meta', 'data', 'structur', 'relat', 'data', 'academ', 'homepag', 'predict', 'model', 'ontology-extend', 'textual', 'datareal-world', 'data', 'biolog', 'sequenc', 'data']",264,"1. Using Global Sequence Similarity to Enhance Biological Sequence Labeling, 2. Learning Classifiers from Large Databases Using Statistical Queries, 3. Learning support vector machines from distributed data sources, 4. Combining Super-Structuring and Abstraction on Sequence Classification, 5. Learning Link-Based Classifiers from Ontology-Extended Textual Data","Artificial Intelligence Research Laboratory, Department of Computer Science, Iowa State University, Ames, Iowa;Penn State University, University Park, PA, USA;University of North Texas
"
Aimin Hao,proposed method; novel method; punishment force method; rendering method; Focus Context visualization method; Geomipmap method; MacComark method; computation method; conventional line extraction method; coupling method,"['propos', 'method', 'novel', 'method', 'punish', 'forc', 'method', 'render', 'method', 'focu', 'context', 'visual', 'method', 'geomipmap', 'method', 'maccomark', 'method', 'comput', 'method', 'convent', 'line', 'extract', 'method', 'coupl', 'method']",268,"1. Interactive Two-sided Refraction for Dynamic Object on GPU, 2. Style-Based Motion Editing, 3. A Method for Terrain Rendering Real-Time Based on Two-Level Model, 4. View-invariant action recognition using interest points, 5. Real-Time Realistic Rendering of Tissue Surface with Mucous Layer","State Key Laboratory of Virtual Reality Technology, China;Beihang University, Beijing, China
"
László Böszörményi,video stream; video browsing tool; video data; arthroscopic video; single video; standard soft video player; video content; video motion; video player; video proxy cache,"['video', 'stream', 'video', 'brows', 'tool', 'video', 'data', 'arthroscop', 'video', 'singl', 'video', 'standard', 'soft', 'video', 'player', 'video', 'content', 'video', 'motion', 'video', 'player', 'video', 'proxi', 'cach']",316,"1. Programming in Modula-3: an introduction in programming with style, 2. M3Set—a language for handling of distributed and persistent sets of objects, 3. Programming in Modula-3, 4. Distributed federative QoS resource management, 5. Quality-aware proxy caching for Web videos","Univ. of Klagenfurt;Topic Chairs
"
Michal Ptaszynski,conversational agent; evaluation experiment; proposed method; Multiagent system; baseline system; pun generator; novel method; affect analysis; conversational system; emotiveness analysis system,"['convers', 'agent', 'evalu', 'experi', 'propos', 'method', 'multiag', 'system', 'baselin', 'system', 'pun', 'gener', 'novel', 'method', 'affect', 'analysi', 'convers', 'system', 'emot', 'analysi', 'system']",317,"1. Humor Prevails! - Implementing a Joke Generator into a Conversational System, 2. ""Affect as Information about Users Attitudes to Conversational Agents"", 3. Serious processing for frivolous purpose: a chatbot using web-mining supported affect analysis and pun generation, 4. Humorized Computational Intelligence towards User-Adapted Systems with a Sense of Humor, 5. Humoroids: conversational agents that induce positive emotions with humor","Graduate School of Information Science and Technology, Hokkaido University, Sapporo, Japan 0600814;HighTech Research Center, Intelligent Techniques Laboratory 6, HokkaiGakuen University, Sapporo, Japan
"
Muaz A. Niazi,agent-based model; Agent-based modeling; Agent-based computing; simulation model; complex network; complex system; agent-based forest fire simulation; agent-based simulation; agent-based simulation model; agent-based social simulation,"['agent-bas', 'model', 'agent-bas', 'model', 'agent-bas', 'comput', 'simul', 'model', 'complex', 'network', 'complex', 'system', 'agent-bas', 'forest', 'fire', 'simul', 'agent-bas', 'simul', 'agent-bas', 'simul', 'model', 'agent-bas', 'social', 'simul']",318,"1. Urban Computing and Mobile Devices, 2. Self-organized customized content delivery architecture for ambient assisted environments, 3. Verification & validation of an agent-based forest fire simulation model, 4. An Intelligent Self-Organizing Power-Saving Architecture: An Agent-Based Approach, 5. Cognitive Agent-based Computing-I: A Unified Framework for Modeling Complex Adaptive Systems using Agent-based & Complex Network-based Methods","Foundation University, Pakistan;Foundation University, Rawalpindi, Pakistan;University of Stirling;COMSATS Institute of IT, Islamabad, Pakistan;Department of Computer Science, National University of Computer & Emerging Sciences, FAST, Islamabad, Pakistan;Bahria University, Islamabad, Pakistan
"
Shashidhar G. Koolagudi,target speaker; speech signal; emotion recognition; emotion recognition performance; speech feature; Berlin emotion speech corpus; Synthesized speech; emotional speech; emotional speech corpus; Berlin emotion speech database,"['target', 'speaker', 'speech', 'signal', 'emot', 'recognit', 'emot', 'recognit', 'perform', 'speech', 'featur', 'berlin', 'emot', 'speech', 'corpu', 'synthes', 'speech', 'emot', 'speech', 'emot', 'speech', 'corpu', 'berlin', 'emot', 'speech', 'databas']",325,"1. Transformation of Speaker Characteristics in Speech Using Support Vector Machines, 2. Unit Selection Using Linguistic, 3. Prosodic and Spectral Distance for Developing Text-to-Speech System in Hindi, 4. Exploring Speech Features for Classifying Emotions along Valence Dimension, 5. Voice transformation by mapping the features at syllable level","School of Information Technology, Indian Institute of Technology Kharagpur, Kharagpur, India 721302;School of Information Technology, IIT Kharagpur, Kharagpur, West Bengal, India;Graphic Era University, Dehradun, Uttarakhand, India;Graphic Era University, Dehradun, Uttrakhand, India;Department of Computer Science and Engineering, National Institute of Technology Karnataka, Surathkal, India 575025
"
J Glimm,numerical simulation; front tracking; numerical algorithm; error model; conservative front tracking algorithm; front tracking algorithm; three-dimensional front tracking algorithm; free surface flow; surface tension force; numerical result,"['numer', 'simul', 'front', 'track', 'numer', 'algorithm', 'error', 'model', 'conserv', 'front', 'track', 'algorithm', 'front', 'track', 'algorithm', 'three-dimension', 'front', 'track', 'algorithm', 'free', 'surfac', 'flow', 'surfac', 'tension', 'forc', 'numer', 'result']",361,"1. Front tracking for gas dynamics, 2. Front tracking applied to Rayleigh Taylor instability","New York Univ., New York, NY;Univ. at Stony Brook, Stony Brook, NY
"
A. N. Birbas,coarse ADC; Digital Converter; D design alternative; alternative ADC design strategy; alternative design strategy; design assistance tool; design complexity; design representation; design style; entire design process,"['coars', 'adc', 'digit', 'convert', 'd', 'design', 'altern', 'altern', 'adc', 'design', 'strategi', 'altern', 'design', 'strategi', 'design', 'assist', 'tool', 'design', 'complex', 'design', 'represent', 'design', 'style', 'entir', 'design', 'process']",364,"1. Hardware programming using C++, 2. High-level co-simulation based on the extension of processor simulators, 3. A mapping algorithm for computer-assisted exploration in the design of embedded systems, 4. Simulating hardware, 5. software and electromechanical parts using communicating simulators","University of Patras;Analogies S.A., Patras Science Park, Greece;Analogies S.A., PlataniPatras, Greece;Analogies S.A., Patras Science Park, PlataniRio 26504, Greece
"
Ittai Balaban,predicate abstraction; Ranking Abstraction; shape analysis; liveness property; abstraction computation; type constraint; ranking function; abstraction methodology; abstractionPredicate abstraction; augmented finitary abstraction,"['predic', 'abstract', 'rank', 'abstract', 'shape', 'analysi', 'live', 'properti', 'abstract', 'comput', 'type', 'constraint', 'rank', 'function', 'abstract', 'methodolog', 'abstractionpred', 'abstract', 'augment', 'finitari', 'abstract']",366,"1. Refactoring support for class library migration, 2. Shape analysis by augmentation, 3. abstraction, 4. and transformation, 5. Shape analysis of single-parent heaps","New York University, New York, NY;World Evolved Services, New York, NY;Cross Commerce Media, United States;WorldEvolved Services, New York
"
Graciela Boente,robust estimator; robust estimate; robust procedure; regression parameter; robust Wald test; robust selector; robust test; Monte Carlo study; asymptotic variance; corresponding robust data-driven scale,"['robust', 'estim', 'robust', 'estim', 'robust', 'procedur', 'regress', 'paramet', 'robust', 'wald', 'test', 'robust', 'selector', 'robust', 'test', 'mont', 'carlo', 'studi', 'asymptot', 'varianc', 'correspond', 'robust', 'data-driven', 'scale']",379,"1. Asymptotic theory for robust principal components, 2. Consistency of a nonparametric estimate of a density function for dependent variables, 3. Chain rule density estimates, 4. Asymptotic distribution of smoothers based on local means and local medians under dependence, 5. General projection-pursuit estimators for the common principal components model: influence functions and Monte Carlo study","Ciudad Univ., Buenos Aires, Argentina
"
Clay Williams,technical debt; software development; software development project; software development governance; software development organization; software repository; time spectrum; case study; model-based testing; available software,"['technic', 'debt', 'softwar', 'develop', 'softwar', 'develop', 'project', 'softwar', 'develop', 'govern', 'softwar', 'develop', 'organ', 'softwar', 'repositori', 'time', 'spectrum', 'case', 'studi', 'model-bas', 'test', 'avail', 'softwar']",410,"1. Efficient Regression Testing of Multi-Panel Systems, 2. Using Software Repositories to Investigate Socio-technical Congruence in Development Projects, 3. On Generating EFSM models from Use Cases, 4. On Generating EFSM Models from Use Cases, 5. An automated model-based debugging approach","IBM T.J. Watson Research Center, Hawthorne, NY;IBM, Hawthorne, NY, USA
"
An-Yeu Wu,IFFT processor; unified design framework; coding architecture; echo cancellers; computational complexity; ASIC design; VLSI design; VLSI design example; design framework; design index,"['ifft', 'processor', 'unifi', 'design', 'framework', 'code', 'architectur', 'echo', 'cancel', 'comput', 'complex', 'asic', 'design', 'vlsi', 'design', 'vlsi', 'design', 'exampl', 'design', 'framework', 'design', 'index']",414,"1. Algorithm-based low-power transform coding architectures: the multirate approach, 2. Parallel programmable video co-processor design, 3. High-performance VLSI architecture of adaptive decision feedback equalizer based on predictive parallel branch slicer (PPBS) scheme, 4. A novel multirate adaptive FIR filtering algorithm and structure, 5. A novel trellis-based searching scheme for EEAS-based CORDIC algorithm","National Central Univ., Chungli, Taiwan;Graduate Institute of Electronics Engineering and Department of Electrical Engineering, National Taiwan University, Taipei 106, Taiwan, Republic of China
"
N. Bertrand,steady-state control problem; probabilistic system; infinite word; finite attractor; modal specification; component-based system; decision problem; probabilistic automaton; probabilistic channel system; probabilistic distribution,"['steady-st', 'control', 'problem', 'probabilist', 'system', 'infinit', 'word', 'finit', 'attractor', 'modal', 'specif', 'component-bas', 'system', 'decis', 'problem', 'probabilist', 'automaton', 'probabilist', 'channel', 'system', 'probabilist', 'distribut']",422,"1. Verification of probabilistic systems with faulty communication, 2. Symbolic verification of communicating systems with probabilistic message losses: liveness and fairness, 3. Computable fixpoints in well-structured symbolic model checking","LSV, CNRS & ENS de Cachan, France;Lab. Specification & Verification, CNRS UMR & ENS de Cachan, France;CNRS and ENS Cachan, Cachan, France;INRIA Rennes Bretagne Atlantique, France;Lab. Specification & Verification, CNRS UMR 8643 & ENS de Cachan, France;Lab. Spécification & Véérification, ENS de Cachan & CNRS UMR, Cachan Cedex, France;Technische Universität Dresden, Germany;LSV, ENS de Cachan & CNRS, France;Inria Rennes Bretagne Atlantique, France,University of Liverpool, UK
"
A. Sárközy,k symbol; large family; binary sequence; pseudorandom sequence; large W; family complexity; sequences E; fixed small k; order k; large C,"['k', 'symbol', 'larg', 'famili', 'binari', 'sequenc', 'pseudorandom', 'sequenc', 'larg', 'w', 'famili', 'complex', 'sequenc', 'e', 'fix', 'small', 'k', 'order', 'k', 'larg', 'c']",449,"1. On the number of partitions of n without a given subsum (I), 2. Arithmetic progressions in subset sums, 3. On additive properties of general sequences, 4. On product representations of powers, 5. I","Tudoma`nyos Akade´mia, Budapest, Hungary;Department of Algebra and Number Theory, Eötvös Loránd University, H1117 Budapest, Pázmány Péter sétány 1/c, Hungary
"
Qi Zuo,multi-port memory; L2 memory; N-port memory; hierarchical memory architecture; shared memory system; 1-port memory bank; L1 memory; L1 memory portion; Multi-Port MemoryRational memory architecture; N-port L1 memory,"['multi-port', 'memori', 'l2', 'memori', 'n-port', 'memori', 'hierarch', 'memori', 'architectur', 'share', 'memori', 'system', '1-port', 'memori', 'bank', 'l1', 'memori', 'l1', 'memori', 'portion', 'multi-port', 'memoryr', 'memori', 'architectur', 'n-port', 'l1', 'memori']",455,"1. Performance Evaluation of a Self-Maintained Memory Module, 2. HHMA: A Hierarchical Hybrid Memory Architecture Sharing Multi-Port Memory, 3. FG-NC: A Schedule Algorithm of Designing Concurrent Multi-direction Data Switch Structure, 4. An Intelligent Multi-Port Memory, 5. N-port memory mapping for LUT-based FPGAs","High Performance Embedded Computation Lab, School of Computer Science and Technology, Beijing Institute of Technology, P.R. Chin, BeiJing, China
"
Amos Israel,space complexity; physical register; time complexity; important complexity criterion; optimal time; bounded protocol; protocols RingElect; simple protocols RingGuess; atomic register; dynamic system,"['space', 'complex', 'physic', 'regist', 'time', 'complex', 'import', 'complex', 'criterion', 'optim', 'time', 'bound', 'protocol', 'protocol', 'ringelect', 'simpl', 'protocol', 'ringguess', 'atom', 'regist', 'dynam', 'system']",503,"1. A fast and simple randomized parallel algorithm for maximal matching, 2. An improved parallel algorithm for maximal matching, 3. On processor coordination using asynchronous hardware, 4. Self-stabilization of dynamic systems assuming only read/write atomicity, 5. Token management schemes and random walks yield self-stabilizing mutual exclusion","Dept. of Computer Science, Inst. of Technology, Israel;Harvard Univ., Cambridge, MA;Department of Electrical Engineering, Technion  Israel Institute of Technology, Haifa, 32000, ISRAEL;Intel, Haifa, Israel;School of Computer Science and Mathematics, Netanya Academic College, P.O.B. 120, Netanya 42100, Israel
"
A. Del Bimbo,slave camera; master camera; image brightness; PTZ camera; PTZ camera network; Pan Tilt Zoom camera; automatic camera geometry estimation; camera network; camera self-localization; fixed camera,"['slave', 'camera', 'master', 'camera', 'imag', 'bright', 'ptz', 'camera', 'ptz', 'camera', 'network', 'pan', 'tilt', 'zoom', 'camera', 'automat', 'camera', 'geometri', 'estim', 'camera', 'network', 'camera', 'self-loc', 'fix', 'camera']",506,"1. CSL: a class specification language for object-oriented design, 2. 3-D object recognition from single perspective views, 3. Behavioral object recognition from multiple image frames, 4. Determination of road directions using feedback neural nets, 5. Optical flow through relaxation in the velocity space","Dipartimento di Sistemi e Informatica, Via S. Marta 3, 50139 Florence, Italy;Dept. of Syst. & Inf., Florence Univ.
"
Fernando Ferri,multimodal interaction; multimodal sentence; query approximation; Soft computing; geographical query; pictorial query language; geographic information system; temporal information; complex query; query formulation,"['multimod', 'interact', 'multimod', 'sentenc', 'queri', 'approxim', 'soft', 'comput', 'geograph', 'queri', 'pictori', 'queri', 'languag', 'geograph', 'inform', 'system', 'tempor', 'inform', 'complex', 'queri', 'queri', 'formul']",520,"1. An object-oriented model for a multimedia patient folder management system, 2. An object-oriented information model for a patient definition and management system, 3. The syntactic and semantic correctness of pictorial configurations to query geographic databases by PQL, 4. A Proposal for a Distributed XML Healthcare Record, 5. A Visual Object-Oriented Query Language for Geographic Information Systems","Istituto di Studi sulla Ricerca e Documentazione Scientifica  Consiglio Nazionale delle Ricerche, Rome, Italy;Istituto di Analisi dei Sistemi ed Informatica  CNR;IRPPSCNR;IRPPSCNR, Roma, Italy;Istituto di Ricerche sulla Popolazione e Politiche Sociali, Italy;Istituto di Ricerche sulla Popolazione, Via Nizza, Roma;IRPPSCNR, Italy;Institute of Reaserch on Population and Social Policies (IRPPS), Rome, Italy 00185;La Sapienza;Institute of Research on Population and Social Policies, National Research Council, Rome
"
